alpha,test,mean,cv_mean,lower_percentile,upper_percentile,exp,step,linear
1e-05,F1,0.15302721225410537,0.16348092580339707,0.12964850352987967,0.17347885609978703,75.489298833571723,38.0,55.632318375901903
1e-05,accuracy,0.79633333333333323,0.7933345885897195,0.78333333333333333,0.81010638297872339,16.15259758442917,1.0,20.871794871794886
1e-05,precision,0.17595011184734063,0.18416149456958775,0.14374057315233785,0.19952603282399545,60.7494473895499,20.0,43.697280553749849
1e-05,recall,0.13825754938646265,0.15277252392711207,0.11682242990654206,0.15940298507462686,89.847448474347402,49.0,67.688525366973337
9.52631578947e-06,F1,0.15407077832227992,0.14710831704888935,0.12573994867408039,0.17977558396720072,78.608897811142157,38.0,63.975051297483454
9.52631578947e-06,accuracy,0.79706382978723411,0.79156028368794329,0.78492907801418443,0.80797872340425536,14.697006350075378,0.0,19.000000000000011
9.52631578947e-06,precision,0.17374036168573984,0.16729290672580902,0.14469634087293354,0.20379818594104307,56.876877740844144,23.0,44.62509870651715
9.52631578947e-06,recall,0.14080078969282236,0.13605105272993753,0.11196145124716553,0.16577540106951871,84.127714224196382,51.0,67.366299121774091
9.05263157895e-06,F1,0.15406153290435648,0.17230599809547179,0.12678383656301637,0.17580478032605695,77.655264116795067,36.0,57.835362519075879
9.05263157895e-06,accuracy,0.79575177304964539,0.78093014498211255,0.78368794326241131,0.80709219858156034,18.040208165418928,2.0,25.487179487179493
9.05263157895e-06,precision,0.17358869835655816,0.17856266748663613,0.14628037845525943,0.1947843822843823,61.10741626600317,16.0,39.527118536354372
9.05263157895e-06,recall,0.14118790083902333,0.17172492010297372,0.11112128705314894,0.16499282639885224,85.164769187401404,46.0,63.511706871749752
8.57894736842e-06,F1,0.15369757528074229,0.1546507916425881,0.12898278250544232,0.18131593420328984,79.922389772332863,36.0,65.785875646747385
8.57894736842e-06,accuracy,0.7959432624113475,0.78695349275089443,0.78421985815602835,0.80851063829787229,16.853659982358135,4.0,21.102564102564109
8.57894736842e-06,precision,0.1707614196553196,0.16712560807367211,0.14018962848297212,0.20000000000000001,58.713289822119258,23.0,42.397957840773209
8.57894736842e-06,recall,0.14191641488960804,0.14731600848735296,0.11522698612862547,0.16853932584269662,84.644307773168137,43.0,63.099443911108956
8.10526315789e-06,F1,0.15172804531986853,0.17689045881427076,0.12058268141354195,0.17750523743016761,75.473842030459224,38.0,56.007984558242313
8.10526315789e-06,accuracy,0.79237588652482271,0.79369045377518366,0.78226950354609925,0.80283687943262416,19.073344189918775,3.0,23.897435897435926
8.10526315789e-06,precision,0.16920764440948452,0.20032164392697363,0.13714434420541291,0.21033505154639176,61.809027217283813,27.0,47.193743066516824
8.10526315789e-06,recall,0.14007765900099739,0.16492056755235826,0.10660714285714284,0.16616985738147244,83.833169568165559,55.0,70.232142370691918
7.63157894737e-06,F1,0.16095269663723247,0.19020644344078158,0.14021756518956968,0.18504008746355685,70.801730354506802,25.0,51.50029659401406
7.63157894737e-06,accuracy,0.79331914893617028,0.77986443231029934,0.78368794326241131,0.80319148936170215,18.969123281248024,2.0,25.871794871794894
7.63157894737e-06,precision,0.17814108038794543,0.19030769176849768,0.15065279477764176,0.20792748917748918,59.009399485920952,15.0,43.843130351205232
7.63157894737e-06,recall,0.14950807202960828,0.19576432896996881,0.12425116689330737,0.1783525563780341,81.600087857802549,34.0,56.898242023191237
7.15789473684e-06,F1,0.15329128577207968,0.16599646505959603,0.12527985074626868,0.17419149477973009,79.632990871711868,38.0,60.351424421652929
7.15789473684e-06,accuracy,0.79071631205673754,0.77880248540764452,0.77943262411347514,0.8014184397163121,23.439473154477586,6.0,29.589743589743602
7.15789473684e-06,precision,0.16958391399432549,0.16911396398720341,0.14170997030607585,0.19623165333540421,63.929966780381612,24.0,46.537273336991554
7.15789473684e-06,recall,0.14186464183730416,0.16722944462642628,0.11603721948549534,0.16175721561969442,85.957872205382799,45.0,61.498051102980043
6.68421052632e-06,F1,0.16428345122667154,0.17140931646742261,0.14153933220147141,0.18922568715849833,68.105069477092712,24.0,49.547272392705608
6.68421052632e-06,accuracy,0.79278723404255314,0.79333960961526384,0.77943262411347514,0.80709219858156034,20.900345788632769,3.0,27.051282051282065
6.68421052632e-06,precision,0.17882221064040721,0.18657375276836993,0.15377986682334507,0.20931449502878074,52.509141357433627,17.0,41.155618973152471
6.68421052632e-06,recall,0.15488448423703771,0.16201657312100254,0.125,0.18588681548657135,75.573749686602042,34.0,55.551777618229615
6.21052631579e-06,F1,0.15708864353524019,0.15367963236217938,0.13027808974638347,0.18463568094174954,74.411054082469789,32.0,56.486931541284129
6.21052631579e-06,accuracy,0.7885390070921986,0.7841203790874286,0.77517730496453896,0.80017730496453909,25.294796771146931,6.0,30.538461538461537
6.21052631579e-06,precision,0.17074680690021107,0.16442707823191122,0.14494912790697673,0.19926084553744128,58.42950598405583,22.0,44.971775012184033
6.21052631579e-06,recall,0.14847112685664099,0.1477075774087746,0.1186722661928606,0.17447762665089692,80.513997767298278,44.0,62.285957750584366
5.73684210526e-06,F1,0.15630948046180979,0.16438412362830968,0.12784365393061048,0.18078127907698036,76.0715469241064,32.0,58.301715017051478
5.73684210526e-06,accuracy,0.78814893617021287,0.78306282558212514,0.7737588652482269,0.80106382978723401,25.950203758929316,8.0,28.153846153846171
5.73684210526e-06,precision,0.17097091931408762,0.17208939014202171,0.14468864468864467,0.19442559160218997,62.51020404253191,21.0,47.235713077069846
5.73684210526e-06,recall,0.14687558512552262,0.16223312713391205,0.12070757622420696,0.1736898789399062,81.628233108913676,40.0,60.45724104774802
5.26315789474e-06,F1,0.15847589723612304,0.18882096634573312,0.1330188679245283,0.18662473764514581,70.110493963282849,37.0,55.420833192772335
5.26315789474e-06,accuracy,0.78900000000000003,0.77702566999309608,0.77712765957446817,0.8014184397163121,24.558304313240608,8.0,27.461538461538481
5.26315789474e-06,precision,0.16730797333808053,0.1914124591563634,0.13456308595147784,0.19642857142857142,64.647945793353855,29.0,49.939327862188932
5.26315789474e-06,recall,0.15328694541777169,0.19684844027566048,0.12311319512130871,0.18304272013949432,78.250117533127153,35.0,57.836173197449391
4.78947368421e-06,F1,0.15961236818313818,0.16138976956494583,0.13389199255121043,0.18023773588443187,74.308165757173299,31.0,54.815105358583267
4.78947368421e-06,accuracy,0.78687943262411353,0.77490868009791003,0.77659574468085102,0.79822695035460989,30.426279451501763,7.0,37.051282051282087
4.78947368421e-06,precision,0.16925468338369548,0.16639339006069492,0.13699596774193551,0.19439410092395168,64.900778335836989,26.0,52.213757488665394
4.78947368421e-06,recall,0.15336745520601819,0.16168008695232217,0.13166808919236106,0.17366245463099877,80.304148550257636,37.0,58.749962198700672
4.31578947368e-06,F1,0.15252600185583717,0.15902715337147005,0.12520919880045195,0.17305941270202596,76.939345822891113,37.0,58.297955095707813
4.31578947368e-06,accuracy,0.78836170212765966,0.7738467331952551,0.77641843971631197,0.79858156028368787,25.602927458009749,4.0,30.589743589743616
4.31578947368e-06,precision,0.16061407183087781,0.1647900504545507,0.13277177959791511,0.18593470483005367,72.562553781575332,31.0,56.029190307622763
4.31578947368e-06,recall,0.1473989353236185,0.16166010482153881,0.11608462675535847,0.17938609467455618,81.962612450665503,43.0,64.542071855363162
3.84210526316e-06,F1,0.16954116569321315,0.18452288914766102,0.14544106072531332,0.19555834029518243,62.759104007279589,22.0,44.435262842282853
3.84210526316e-06,accuracy,0.78249645390070921,0.77738341806313938,0.76879432624113475,0.79521276595744683,37.83779588325018,19.0,42.769230769230795
3.84210526316e-06,precision,0.17458649364328646,0.18729665562246978,0.14634595390746835,0.20050505050505052,57.714448456177223,16.0,37.490663103175955
3.84210526316e-06,recall,0.16771881592548968,0.19556244461802713,0.13497834158415842,0.19471601489757914,69.881610006222573,26.0,53.557066050788897
3.36842105263e-06,F1,0.15982197283841859,0.17186612846552618,0.13380590518454522,0.18468915343915343,72.655340888657392,32.0,56.88051982628668
3.36842105263e-06,accuracy,0.78092907801418432,0.7738435950542899,0.76737588652482269,0.79521276595744683,36.727917584622872,16.0,37.974358974358999
3.36842105263e-06,precision,0.16488572878109323,0.1708186830649942,0.13598364379827352,0.19394177812745866,66.01411178343028,27.0,50.580440821992063
3.36842105263e-06,recall,0.15727624647604924,0.17778113569265788,0.12887624466571834,0.18207792207792206,76.634674807957907,36.0,58.873090760580318
2.89473684211e-06,F1,0.16221043136715874,0.19127893522473777,0.1377320146321637,0.18954116059379217,68.907605670643363,29.0,51.068654570817834
2.89473684211e-06,accuracy,0.78091489361702127,0.77491244586706831,0.76595744680851063,0.79574468085106387,39.465731779046607,16.0,42.94871794871797
2.89473684211e-06,precision,0.16473049188725952,0.18674925589414129,0.13438399835458659,0.18807870370370372,68.331038224783029,31.0,53.248939594393335
2.89473684211e-06,recall,0.16347483418555595,0.2030314753337617,0.13810117967332125,0.19235911147675855,73.299908310491475,26.0,54.844823759733885
2.42105263158e-06,F1,0.16040210924868414,0.15140533302893838,0.13161489520958083,0.18670550847457626,70.731779372493378,30.0,53.106608244145157
2.42105263158e-06,accuracy,0.77702127659574471,0.77525324797589901,0.76365248226950355,0.79379432624113466,41.288269888537563,21.0,40.846153846153875
2.42105263158e-06,precision,0.16223623592509809,0.15763753147789292,0.13169713205168609,0.18844720496894413,69.166371732184842,31.0,54.049661737410752
2.42105263158e-06,recall,0.16178871168969874,0.14993401933487038,0.13108316882671014,0.19604016447172398,69.525736914094566,34.0,54.628682479708303
1.94736842105e-06,F1,0.16978964451169226,0.16992306851946082,0.14465283320031924,0.1956701120472509,61.70845069783919,21.0,44.649438608293337
1.94736842105e-06,accuracy,0.77689361702127657,0.77064771229523621,0.7657801418439717,0.78936170212765955,43.250404840163441,17.0,45.230769230769255
1.94736842105e-06,precision,0.17317604496800346,0.16793579070690351,0.14549557743468475,0.20661544227886056,57.483695318262939,21.0,42.713378340398364
1.94736842105e-06,recall,0.1700921817272576,0.17797885983478851,0.14214643472641103,0.19858490566037734,65.211371145381861,22.0,45.613667820018286
1.47368421053e-06,F1,0.16135249349897066,0.17944989870369329,0.13642215022849663,0.18529698149951312,71.038499252240996,33.0,58.079285419037475
1.47368421053e-06,accuracy,0.77292907801418442,0.77951107763760752,0.75939716312056738,0.78670212765957437,53.305398009475304,28.0,57.12820512820516
1.47368421053e-06,precision,0.15945123334269448,0.18078834095859123,0.12748144712430426,0.18607936053323612,70.673572084214754,29.0,51.432720991510692
1.47368421053e-06,recall,0.16637787706222379,0.18182054455965296,0.14110689689589781,0.19164657792684206,69.640097918921299,24.0,51.223797905141694
1e-06,F1,0.16372492128568525,0.15722134554154182,0.13708192352606521,0.1906651376146789,67.969825866911847,29.0,52.644871827192169
1e-06,accuracy,0.77408510638297867,0.77880374066403069,0.76347517730496461,0.78599290780141851,48.71947889253596,22.0,50.051282051282094
1e-06,precision,0.16324295022451227,0.1613843516740795,0.14425287356321836,0.18414336719300009,68.626342271631955,21.0,46.633937144353574
1e-06,recall,0.16746138240176695,0.15458600269193135,0.13664596273291926,0.20025125628140705,66.849158705776844,27.0,48.195621875843806
1e-06,F1,0.16081065009451664,0.18745583635022636,0.1399357921457369,0.18099671412924423,72.67313991783189,25.0,48.403652082804079
1e-06,accuracy,0.77694326241134748,0.76603903847360821,0.76453900709219857,0.79024822695035457,43.450631609063493,19.0,41.923076923076962
1e-06,precision,0.16125025232140452,0.17680548933871781,0.14098049837486457,0.1813700051894136,72.423556401772686,23.0,47.340350546319875
1e-06,recall,0.16344177797971185,0.20563084791637792,0.1393733850129199,0.19018404907975461,70.8291937441833,24.0,44.905589148880956
9.52631578947e-07,F1,0.17195380551821424,0.15926222419524105,0.14445678969480225,0.19525862068965519,61.406149619586458,19.0,43.603638701551695
9.52631578947e-07,accuracy,0.77131205673758874,0.77205610996045948,0.75797872340425532,0.78457446808510634,53.853653654558819,29.0,56.923076923076955
9.52631578947e-07,precision,0.16998981790718937,0.16648526077097506,0.14268788083953959,0.19314687795648061,63.297476055198295,20.0,45.15994199380701
9.52631578947e-07,recall,0.1769944811497827,0.16392404638017127,0.14920025255182573,0.20101831910877138,63.701003909759059,19.0,47.556094308148175
9.05263157895e-07,F1,0.17229562744097393,0.17995596417901477,0.14344909234411996,0.19679938166415112,58.449040013457427,22.0,43.63434088628113
9.05263157895e-07,accuracy,0.77627659574468089,0.77986443231029934,0.7657801418439717,0.78741134751773056,45.244454163255959,19.0,47.692307692307729
9.05263157895e-07,precision,0.1696356428284439,0.1796316635289455,0.13866482533504912,0.19645437654830719,60.609009568101499,25.0,46.840809276696248
9.05263157895e-07,recall,0.1778311113016578,0.18432435830404126,0.14787581699346405,0.20367734674963592,61.185444288577891,19.0,45.679842102486319
8.57894736842e-07,F1,0.15954175605368162,0.17263594358085926,0.13092933782588956,0.18482791990273192,70.227786880008281,32.0,52.680222585817745
8.57894736842e-07,accuracy,0.7752553191489362,0.76639929705642384,0.7638297872340426,0.78936170212765955,43.381493824164956,18.0,41.153846153846203
8.57894736842e-07,precision,0.15941588709586718,0.1661756924992219,0.1346846846846847,0.18616186784791436,71.954796713319794,33.0,57.969603804397813
8.57894736842e-07,recall,0.16283185064291583,0.18401509329368931,0.13244356737294005,0.18905715681485102,72.006705811682792,33.0,53.663239742096238
8.10526315789e-07,F1,0.1599385355409422,0.17741830467833902,0.1346109516125652,0.18493261165674957,70.933765007311564,31.0,52.442476209887452
8.10526315789e-07,accuracy,0.77029078014184393,0.77171405259524251,0.7599290780141843,0.78226950354609925,52.474472433772355,28.0,49.051282051282087
8.10526315789e-07,precision,0.15915249040920976,0.17566755274055063,0.13082969917502291,0.18101517952456583,73.49158327738688,31.0,54.64926303579832
8.10526315789e-07,recall,0.16413641398929471,0.18329862904682112,0.13087186650003674,0.19164686076450782,71.276759913639282,29.0,53.865277077979897
7.63157894737e-07,F1,0.165534035418025,0.19008677848855227,0.14534622302158273,0.1896191219540139,69.332849276548302,22.0,53.335350080896369
7.63157894737e-07,accuracy,0.77539007092198575,0.77384171216971065,0.76418439716312059,0.79078014184397161,44.532447295531895,21.0,42.692307692307701
